company,Opening Date,issue_price,issue_size_cr,sub_qib,sub_hni,sub_retail,Total (x),Listing Date,Open Price on Listing (Rs.),Close Price on Listing (Rs.),listing_gain_pct,year,positive_listing,gmp_pct,sector,market_mood,pe_vs_sector,promoter_holding,revenue_growth_pct,roce_pct,debt_equity,company_age
Gujarat Kidney & Super Speciality Ltd.,22-Dec-2025,114.0,250.80,1.18,4.73,18.31,3.42,30-Dec-2025,120.00,104.54,-8.3,2026,0,-3.4898575409663026,Other,bear,1.2,60,20,15,0.5,10
KSH International Ltd.,16-Dec-2025,384.0,626.35,1.17,0.45,0.93,0.98,23-Dec-2025,370.00,355.00,-7.55,2026,0,-4.944792903513553,Other,bear,1.2,60,20,15,0.5,10
ICICI Prudential Asset Management Co.Ltd.,12-Dec-2025,2165.0,"10,602.65",50.39,21.0,2.42,28.19,19-Dec-2025,"2,600.00","2,585.90",19.44,2026,1,13.607065614302076,Other,bull,1.2,60,20,15,0.5,10
Park Medi World Ltd.,10-Dec-2025,162.0,920.00,5.58,15.51,3.24,6.25,17-Dec-2025,158.80,147.95,-8.67,2026,0,-0.6329104307759241,Other,bear,1.2,60,20,15,0.5,10
Nephrocare Health Services Ltd.,10-Dec-2025,460.0,871.05,11.29,24.73,2.29,10.12,17-Dec-2025,490.00,471.25,2.45,2026,1,0.7675398758299921,Other,neutral,1.2,60,20,15,0.5,10
Corona Remedies Ltd.,08-Dec-2025,1062.0,655.37,117.52,219.49,29.29,101.01,15-Dec-2025,"1,470.00","1,438.40",35.44,2026,1,20.56158912915246,Other,bull,1.2,60,20,15,0.5,10
Wakefit Innovations Ltd.,08-Dec-2025,195.0,"1,288.89",1.82,1.02,3.07,1.82,15-Dec-2025,195.00,192.29,-1.39,2026,0,3.9036384465221743,Other,neutral,1.2,60,20,15,0.5,10
Vidya Wires Ltd.,03-Dec-2025,52.0,300.01,2.74,55.65,29.35,19.99,10-Dec-2025,52.00,53.17,2.25,2026,1,3.652304187458726,Other,neutral,1.2,60,20,15,0.5,10
Aequs Ltd.,03-Dec-2025,124.0,921.81,49.72,82.97,78.08,57.41,10-Dec-2025,140.00,151.29,22.01,2026,1,11.797576842195145,Other,bull,1.2,60,20,15,0.5,10
Meesho Ltd.,03-Dec-2025,111.0,"5,421.20",49.97,39.29,19.12,45.28,10-Dec-2025,162.50,170.09,53.23,2026,1,33.56568013075789,Other,bull,1.2,60,20,15,0.5,10
Sudeep Pharma Ltd.,21-Nov-2025,593.0,895.00,85.68,116.18,15.14,65.56,28-Nov-2025,730.00,774.15,30.55,2026,1,16.939746921562612,Pharma,bull,1.2,60,20,15,0.5,10
Excelsoft Technologies Ltd.,19-Nov-2025,120.0,500.00,20.52,106.72,16.01,31.87,26-Nov-2025,135.00,125.97,4.97,2026,1,1.5848107392892292,Tech,neutral,1.2,60,20,15,0.5,10
Capillary Technologies India Ltd.,14-Nov-2025,577.0,877.50,23.44,69.49,15.4,29.48,21-Nov-2025,571.90,606.50,5.11,2026,1,3.7918868146981026,Tech,neutral,1.2,60,20,15,0.5,10
Fujiyama Power Systems Ltd.,13-Nov-2025,228.0,828.00,2.72,0.88,1.01,1.84,20-Nov-2025,220.00,208.44,-8.58,2026,0,-10.887840733973393,Other,bear,1.2,60,20,15,0.5,10
Tenneco Clean Air India Ltd.,12-Nov-2025,397.0,"3,600.00",70.45,42.65,5.26,43.47,19-Nov-2025,505.00,490.80,23.63,2026,1,9.0032465024609,Other,bull,1.2,60,20,15,0.5,10
PhysicsWallah Ltd.,11-Nov-2025,109.0,"3,480.00",1.75,0.5,1.06,1.49,18-Nov-2025,145.00,155.24,42.42,2026,1,23.765137412277085,Other,bull,1.2,60,20,15,0.5,10
Emmvee Photovoltaic Power Ltd.,11-Nov-2025,217.0,"2,900.00",1.15,0.3,1.11,1.02,18-Nov-2025,217.00,219.40,1.11,2026,1,-2.3724933610032717,Other,neutral,1.2,60,20,15,0.5,10
Pine Labs Ltd.,07-Nov-2025,221.0,"3,900.17",2.2,0.29,1.2,1.81,14-Nov-2025,242.00,250.89,13.52,2026,1,9.054741997785822,Other,bull,1.2,60,20,15,0.5,10
Billionbrains Garage Ventures Ltd.,04-Nov-2025,100.0,"6,632.30",9.41,14.1,9.17,10.09,12-Nov-2025,112.00,131.33,31.33,2026,1,16.073927773436367,Other,bull,1.2,60,20,15,0.5,10
Lenskart Solutions Ltd.,31-Oct-2025,402.0,"7,278.02",16.74,18.28,7.48,16.01,10-Nov-2025,395.00,403.10,0.27,2026,1,-4.074911104005875,Other,neutral,1.2,60,20,15,0.5,10
Studds Accessories Ltd.,30-Oct-2025,585.0,455.49,64.55,76.66,21.55,51.31,07-Nov-2025,565.00,560.30,-4.22,2026,0,1.8649463067646628,Other,neutral,1.2,60,20,15,0.5,10
Orkla India Ltd.,29-Oct-2025,730.0,"1,667.54",47.55,54.25,6.8,34.25,06-Nov-2025,750.10,713.65,-2.24,2026,0,-2.021328901459607,Other,neutral,1.2,60,20,15,0.5,10
Midwest Ltd.,15-Oct-2025,1065.0,451.10,59.13,175.57,24.56,64.34,24-Oct-2025,"1,165.00","1,140.50",7.09,2026,1,4.456584614063771,Other,neutral,1.2,60,20,15,0.5,10
Canara HSBC Life Insurance Co.Ltd.,10-Oct-2025,106.0,"2,517.50",3.44,0.32,0.4,1.9,17-Oct-2025,106.00,111.42,5.11,2026,1,-1.2082445586403705,Other,neutral,1.2,60,20,15,0.5,10
Rubicon Research Ltd.,09-Oct-2025,485.0,"1,377.68",55.39,101.82,36.48,60.38,16-Oct-2025,620.00,628.20,29.53,2026,1,16.08485182642445,Other,bull,1.2,60,20,15,0.5,10
Canara Robeco Asset Management Co.Ltd.,09-Oct-2025,266.0,"1,326.13",10.96,6.4,1.86,7.09,16-Oct-2025,280.25,300.45,12.95,2026,1,8.102767769129597,Other,bull,1.2,60,20,15,0.5,10
LG Electronics India Ltd.,07-Oct-2025,1140.0,"11,607.01",67.21,22.08,3.39,38.03,14-Oct-2025,"1,710.10","1,689.90",48.24,2026,1,25.49101926773309,Other,bull,1.2,60,20,15,0.5,10
Tata Capital Ltd.,06-Oct-2025,326.0,"15,511.87",1.98,1.95,1.06,1.65,13-Oct-2025,330.00,330.50,1.38,2026,1,1.9550940550370157,Other,neutral,1.2,60,20,15,0.5,10
WeWork India Management Ltd.,03-Oct-2025,648.0,"3,000.00",1.33,0.23,0.57,1.09,10-Oct-2025,650.00,628.65,-2.99,2026,0,-3.5959160697564148,Other,neutral,1.2,60,20,15,0.5,10
Advance Agrolife Ltd.,30-Sep-2025,100.0,192.86,11.59,174.55,22.17,39.68,08-Oct-2025,114.00,108.30,8.3,2026,1,4.10491875062017,Other,neutral,1.2,60,20,15,0.5,10
Om Freight Forwarders Ltd.,29-Sep-2025,135.0,122.31,2.91,7.38,2.77,3.58,08-Oct-2025,81.50,85.57,-36.61,2026,0,-23.77111983668819,Other,bear,1.2,60,20,15,0.5,10
Glottis Ltd.,29-Sep-2025,129.0,307.00,1.54,3.06,1.43,1.95,07-Oct-2025,84.00,83.70,-35.12,2026,0,-15.515165446473187,Other,bear,1.2,60,20,15,0.5,10
Fabtech Technologies Ltd.,29-Sep-2025,191.0,230.30,2.02,1.95,2.04,2.01,07-Oct-2025,192.00,182.40,-4.5,2026,0,-2.7404916742138017,Tech,neutral,1.2,60,20,15,0.5,10
Pace Digitek Ltd.,26-Sep-2025,219.0,819.15,1.29,2.94,1.05,1.45,06-Oct-2025,225.00,217.99,-0.46,2026,0,-3.4491327868676995,Other,neutral,1.2,60,20,15,0.5,10
Trualt Bioenergy Ltd.,25-Sep-2025,496.0,839.28,66.53,102.95,11.37,52.69,03-Oct-2025,545.40,530.95,7.05,2026,1,6.697634736309567,Other,neutral,1.2,60,20,15,0.5,10
Jinkushal Industries Ltd.,25-Sep-2025,121.0,116.15,14.64,145.9,46.64,45.54,03-Oct-2025,125.00,121.66,0.55,2026,1,-3.3325309499130666,Other,neutral,1.2,60,20,15,0.5,10
Epack Prefab Technologies Ltd.,24-Sep-2025,204.0,504.00,2.75,3.74,1.7,2.53,01-Oct-2025,183.85,190.66,-6.54,2026,0,-3.2974092149857337,Tech,bear,1.2,60,20,15,0.5,10
BMW Ventures Ltd.,24-Sep-2025,99.0,231.66,1.89,1.08,0.96,1.0,01-Oct-2025,78.00,74.10,-25.15,2026,0,-20.969010371639325,Other,bear,1.2,60,20,15,0.5,10
Jain Resource Recycling Ltd.,24-Sep-2025,232.0,"1,250.00",11.3,5.58,3.72,9.69,01-Oct-2025,265.05,318.06,37.09,2026,1,18.26944185330471,Other,bull,1.2,60,20,15,0.5,10
Anand Rathi Share & Stock Brokers Ltd.,23-Sep-2025,414.0,745.64,19.04,30.04,4.95,15.55,30-Sep-2025,432.00,445.55,7.62,2026,1,5.162583707607371,Other,neutral,1.2,60,20,15,0.5,10
Seshaasai Technologies Ltd.,23-Sep-2025,423.0,813.28,76.26,51.27,9.24,48.93,30-Sep-2025,432.00,411.45,-2.73,2026,0,0.5773997399862312,Tech,neutral,1.2,60,20,15,0.5,10
Jaro Institute of Technology Management & Research Ltd.,23-Sep-2025,890.0,450.00,15.59,37.21,9.01,16.53,30-Sep-2025,890.00,744.25,-16.38,2026,0,-9.313895156430087,Tech,bear,1.2,60,20,15,0.5,10
Solarworld Energy Solutions Ltd.,23-Sep-2025,351.0,490.00,30.27,68.02,50.69,37.97,30-Sep-2025,388.50,323.50,-7.83,2026,0,-5.044944847164721,Other,bear,1.2,60,20,15,0.5,10
