company,Opening Date,issue_price,issue_size_cr,sub_qib,sub_hni,sub_retail,Total (x),Listing Date,Open Price on Listing (Rs.),Close Price on Listing (Rs.),listing_gain_pct,year,positive_listing,gmp_pct,sector,market_mood,pe_vs_sector,promoter_holding,revenue_growth_pct,roce_pct,debt_equity,company_age
Gujarat Kidney & Super Speciality Ltd.,22-Dec-2025,114.0,250.8,1.18,4.73,18.31,3.42,30-Dec-2025,120.00,104.54,-8.3,2026,0,-3.489857540966302,Other,bear,1.2,60.0,20.0,15.0,0.5,10.0
KSH International Ltd.,16-Dec-2025,384.0,626.35,1.17,0.45,0.93,0.98,23-Dec-2025,370.00,355.00,-7.55,2026,0,-4.944792903513553,Other,bear,1.2,60.0,20.0,15.0,0.5,10.0
ICICI Prudential Asset Management Co.Ltd.,12-Dec-2025,2165.0,10602.65,50.39,21.0,2.42,28.19,19-Dec-2025,"2,600.00","2,585.90",19.44,2026,1,13.607065614302076,Other,bull,1.2,60.0,20.0,15.0,0.5,10.0
Park Medi World Ltd.,10-Dec-2025,162.0,920.0,5.58,15.51,3.24,6.25,17-Dec-2025,158.80,147.95,-8.67,2026,0,-0.6329104307759241,Other,bear,1.2,60.0,20.0,15.0,0.5,10.0
Nephrocare Health Services Ltd.,10-Dec-2025,460.0,871.05,11.29,24.73,2.29,10.12,17-Dec-2025,490.00,471.25,2.45,2026,1,0.7675398758299921,Other,neutral,1.2,60.0,20.0,15.0,0.5,10.0
Corona Remedies Ltd.,08-Dec-2025,1062.0,655.37,117.52,219.49,29.29,101.01,15-Dec-2025,"1,470.00","1,438.40",35.44,2026,1,20.56158912915246,Other,bull,1.2,60.0,20.0,15.0,0.5,10.0
Wakefit Innovations Ltd.,08-Dec-2025,195.0,1288.89,1.82,1.02,3.07,1.82,15-Dec-2025,195.00,192.29,-1.39,2026,0,3.9036384465221743,Other,neutral,1.2,60.0,20.0,15.0,0.5,10.0
Vidya Wires Ltd.,03-Dec-2025,52.0,300.01,2.74,55.65,29.35,19.99,10-Dec-2025,52.00,53.17,2.25,2026,1,3.652304187458726,Other,neutral,1.2,60.0,20.0,15.0,0.5,10.0
Aequs Ltd.,03-Dec-2025,124.0,921.81,49.72,82.97,78.08,57.41,10-Dec-2025,140.00,151.29,22.01,2026,1,11.797576842195143,Other,bull,1.2,60.0,20.0,15.0,0.5,10.0
Meesho Ltd.,03-Dec-2025,111.0,5421.2,49.97,39.29,19.12,45.28,10-Dec-2025,162.50,170.09,53.23,2026,1,33.56568013075789,Other,bull,1.2,60.0,20.0,15.0,0.5,10.0
