"Company","Opening Date","Issue Price (Rs.)","Issue Amount<br/> (Rs.cr.)","QIB (x)","NII (x)","Retail (x)","Total (x)","Listing Date","Open Price on Listing (Rs.)","Close Price on Listing (Rs.)","% Gain / Loss (Issue price v/s Close price on Listing)"
"Prince Pipes & Fittings Ltd.","18-Dec-2019","178","500.00","2.02","0.52","1.63","1.66","30-Dec-2019","160.00","166.90","-6.24"
"Ujjivan Small Finance Bank Ltd.","02-Dec-2019","37","745.95","46.30","473.33","45.29","99.61","12-Dec-2019","58.75","55.95","51.22"
"CSB Bank Ltd.","22-Nov-2019","195","409.68","25.52","164.27","40.98","47.88","04-Dec-2019","275.00","300.05","53.87"
"Vishwaraj Sugar Industries Ltd.","30-Sep-2019","60","60.00","1.00","1.75","0.59","1.09","15-Oct-2019","61.20","60.35","0.58"
"Indian Railway Catering & Tourism Corp.Ltd.","30-Sep-2019","320","637.97","105.55","351.03","13.28","109.21","14-Oct-2019","626.00","727.75","127.42"
"Sterling & Wilson Solar Ltd.","06-Aug-2019","780","2,849.64","1.00","0.94","0.93","0.99","20-Aug-2019","706.00","726.20","-6.9"
"Spandana Sphoorty Financial Ltd.","05-Aug-2019","856","1,189.85","1.89","0.49","0.09","1.05","19-Aug-2019","825.00","847.80","-0.96"
"Affle (India) Ltd.","29-Jul-2019","745","459.00","22.57","198.34","10.23","47.70","08-Aug-2019","926.00","873.65","17.27"
"IndiaMART InterMESH Ltd.","24-Jun-2019","973","475.49","12.95","62.08","13.15","20.31","04-Jul-2019","1,180.00","1,301.95","33.81"
"Neogen Chemicals Ltd.","24-Apr-2019","215","132.35","12.94","114.06","15.38","28.96","08-May-2019","251.00","263.55","22.58"
"Polycab India Ltd.","05-Apr-2019","538","1,345.26","37.88","108.64","4.36","36.51","16-Apr-2019","633.00","654.80","21.71"
"Metropolis Healthcare Ltd.","03-Apr-2019","880","1,204.29","4.19","2.75","2.05","3.68","15-Apr-2019","958.00","959.85","9.07"
"Rail Vikas Nigam Ltd.","29-Mar-2019","19","476.86","1.36","0.67","2.64","1.70","11-Apr-2019","19.00","19.05","0.26"
"MSTC Ltd.","13-Mar-2019","120","211.04","1.13","1.69","2.65","1.36","29-Mar-2019","115.00","113.95","-5.04"
"Chalet Hotels Ltd.","29-Jan-2019","280","1,641.18","2.51","0.99","0.02","1.41","07-Feb-2019","291.00","291.70","4.18"
"Xelpmoc Design & Tech Ltd.","23-Jan-2019","66","23.00","1.68","8.21","2.31","2.72","04-Feb-2019","57.00","59.85","-9.32"
