"Company","Opening Date","Issue Price (Rs.)","Issue Amount<br/> (Rs.cr.)","QIB (x)","NII (x)","Retail (x)","Total (x)","Listing Date","Open Price on Listing (Rs.)","Close Price on Listing (Rs.)","% Gain / Loss (Issue price v/s Close price on Listing)"
"Gujarat Kidney & Super Speciality Ltd.","22-Dec-2025","114","250.80","1.18","4.73","18.31","3.42","30-Dec-2025","120.00","104.54","-8.3"
"KSH International Ltd.","16-Dec-2025","384","626.35","1.17","0.45","0.93","0.98","23-Dec-2025","370.00","355.00","-7.55"
"ICICI Prudential Asset Management Co.Ltd.","12-Dec-2025","2,165","10,602.65","50.39","21.00","2.42","28.19","19-Dec-2025","2,600.00","2,585.90","19.44"
"Park Medi World Ltd.","10-Dec-2025","162","920.00","5.58","15.51","3.24","6.25","17-Dec-2025","158.80","147.95","-8.67"
"Nephrocare Health Services Ltd.","10-Dec-2025","460","871.05","11.29","24.73","2.29","10.12","17-Dec-2025","490.00","471.25","2.45"
"Corona Remedies Ltd.","08-Dec-2025","1,062","655.37","117.52","219.49","29.29","101.01","15-Dec-2025","1,470.00","1,438.40","35.44"
"Wakefit Innovations Ltd.","08-Dec-2025","195","1,288.89","1.82","1.02","3.07","1.82","15-Dec-2025","195.00","192.29","-1.39"
"Vidya Wires Ltd.","03-Dec-2025","52","300.01","2.74","55.65","29.35","19.99","10-Dec-2025","52.00","53.17","2.25"
"Aequs Ltd.","03-Dec-2025","124","921.81","49.72","82.97","78.08","57.41","10-Dec-2025","140.00","151.29","22.01"
"Meesho Ltd.","03-Dec-2025","111","5,421.20","49.97","39.29","19.12","45.28","10-Dec-2025","162.50","170.09","53.23"
"Sudeep Pharma Ltd.","21-Nov-2025","593","895.00","85.68","116.18","15.14","65.56","28-Nov-2025","730.00","774.15","30.55"
"Excelsoft Technologies Ltd.","19-Nov-2025","120","500.00","20.52","106.72","16.01","31.87","26-Nov-2025","135.00","125.97","4.97"
"Capillary Technologies India Ltd.","14-Nov-2025","577","877.50","23.44","69.49","15.40","29.48","21-Nov-2025","571.90","606.50","5.11"
"Fujiyama Power Systems Ltd.","13-Nov-2025","228","828.00","2.72","0.88","1.01","1.84","20-Nov-2025","220.00","208.44","-8.58"
"Tenneco Clean Air India Ltd.","12-Nov-2025","397","3,600.00","70.45","42.65","5.26","43.47","19-Nov-2025","505.00","490.80","23.63"
"PhysicsWallah Ltd.","11-Nov-2025","109","3,480.00","1.75","0.50","1.06","1.49","18-Nov-2025","145.00","155.24","42.42"
"Emmvee Photovoltaic Power Ltd.","11-Nov-2025","217","2,900.00","1.15","0.30","1.11","1.02","18-Nov-2025","217.00","219.40","1.11"
"Pine Labs Ltd.","07-Nov-2025","221","3,900.17","2.20","0.29","1.20","1.81","14-Nov-2025","242.00","250.89","13.52"
"Billionbrains Garage Ventures Ltd.","04-Nov-2025","100","6,632.30","9.41","14.10","9.17","10.09","12-Nov-2025","112.00","131.33","31.33"
"Lenskart Solutions Ltd.","31-Oct-2025","402","7,278.02","16.74","18.28","7.48","16.01","10-Nov-2025","395.00","403.10","0.27"
"Studds Accessories Ltd.","30-Oct-2025","585","455.49","64.55","76.66","21.55","51.31","07-Nov-2025","565.00","560.30","-4.22"
"Orkla India Ltd.","29-Oct-2025","730","1,667.54","47.55","54.25","6.80","34.25","06-Nov-2025","750.10","713.65","-2.24"
"Midwest Ltd.","15-Oct-2025","1,065","451.10","59.13","175.57","24.56","64.34","24-Oct-2025","1,165.00","1,140.50","7.09"
"Canara HSBC Life Insurance Co.Ltd.","10-Oct-2025","106","2,517.50","3.44","0.32","0.40","1.90","17-Oct-2025","106.00","111.42","5.11"
"Rubicon Research Ltd.","09-Oct-2025","485","1,377.68","55.39","101.82","36.48","60.38","16-Oct-2025","620.00","628.20","29.53"
"Canara Robeco Asset Management Co.Ltd.","09-Oct-2025","266","1,326.13","10.96","6.40","1.86","7.09","16-Oct-2025","280.25","300.45","12.95"
"LG Electronics India Ltd.","07-Oct-2025","1,140","11,607.01","67.21","22.08","3.39","38.03","14-Oct-2025","1,710.10","1,689.90","48.24"
"Tata Capital Ltd.","06-Oct-2025","326","15,511.87","1.98","1.95","1.06","1.65","13-Oct-2025","330.00","330.50","1.38"
"WeWork India Management Ltd.","03-Oct-2025","648","3,000.00","1.33","0.23","0.57","1.09","10-Oct-2025","650.00","628.65","-2.99"
"Advance Agrolife Ltd.","30-Sep-2025","100","192.86","11.59","174.55","22.17","39.68","08-Oct-2025","114.00","108.30","8.3"
"Om Freight Forwarders Ltd.","29-Sep-2025","135","122.31","2.91","7.38","2.77","3.58","08-Oct-2025","81.50","85.57","-36.61"
"Glottis Ltd.","29-Sep-2025","129","307.00","1.54","3.06","1.43","1.95","07-Oct-2025","84.00","83.70","-35.12"
"Fabtech Technologies Ltd.","29-Sep-2025","191","230.30","2.02","1.95","2.04","2.01","07-Oct-2025","192.00","182.40","-4.5"
"Pace Digitek Ltd.","26-Sep-2025","219","819.15","1.29","2.94","1.05","1.45","06-Oct-2025","225.00","217.99","-0.46"
"Trualt Bioenergy Ltd.","25-Sep-2025","496","839.28","66.53","102.95","11.37","52.69","03-Oct-2025","545.40","530.95","7.05"
"Jinkushal Industries Ltd.","25-Sep-2025","121","116.15","14.64","145.90","46.64","45.54","03-Oct-2025","125.00","121.66","0.55"
"Epack Prefab Technologies Ltd.","24-Sep-2025","204","504.00","2.75","3.74","1.70","2.53","01-Oct-2025","183.85","190.66","-6.54"
"BMW Ventures Ltd.","24-Sep-2025","99","231.66","1.89","1.08","0.96","1.00","01-Oct-2025","78.00","74.10","-25.15"
"Jain Resource Recycling Ltd.","24-Sep-2025","232","1,250.00","11.30","5.58","3.72","9.69","01-Oct-2025","265.05","318.06","37.09"
"Anand Rathi Share & Stock Brokers Ltd.","23-Sep-2025","414","745.64","19.04","30.04","4.95","15.55","30-Sep-2025","432.00","445.55","7.62"
"Seshaasai Technologies Ltd.","23-Sep-2025","423","813.28","76.26","51.27","9.24","48.93","30-Sep-2025","432.00","411.45","-2.73"
"Jaro Institute of Technology Management & Research Ltd.","23-Sep-2025","890","450.00","15.59","37.21","9.01","16.53","30-Sep-2025","890.00","744.25","-16.38"
"Solarworld Energy Solutions Ltd.","23-Sep-2025","351","490.00","30.27","68.02","50.69","37.97","30-Sep-2025","388.50","323.50","-7.83"
"Atlanta Electricals Ltd.","22-Sep-2025","754","687.85","77.97","55.60","10.54","50.62","29-Sep-2025","857.00","823.35","9.2"
"Ganesh Consumer Products Ltd.","22-Sep-2025","322","408.80","2.39","4.31","1.13","2.23","29-Sep-2025","296.05","294.30","-8.6"
"GK Energy Ltd.","19-Sep-2025","153","464.26","77.69","128.29","21.34","65.56","26-Sep-2025","171.00","167.74","9.63"
"Saatvik Green Energy Ltd.","19-Sep-2025","465","900.20","5.14","10.53","2.72","5.09","26-Sep-2025","465.00","440.70","-5.23"
"Ivalue Infosolutions Ltd.","18-Sep-2025","299","560.29","1.98","1.18","1.22","1.59","25-Sep-2025","284.95","281.85","-5.74"
"VMS TMT Ltd.","17-Sep-2025","99","148.50","48.35","226.19","46.34","82.91","24-Sep-2025","104.90","99.65","0.66"
"Euro Pratik Sales Ltd.","16-Sep-2025","247","451.31","1.13","1.95","1.23","1.29","23-Sep-2025","272.10","248.38","0.56"
"Shringar House of Mangalsutra Ltd.","10-Sep-2025","165","400.95","41.17","82.36","26.66","42.24","17-Sep-2025","188.50","184.88","12.05"
"Dev Accelerator Ltd.","10-Sep-2025","61","143.35","9.05","87.49","160.88","35.82","17-Sep-2025","61.00","64.05","5"
"Urban Co.Ltd.","10-Sep-2025","103","1,900.24","59.44","77.52","40.10","60.14","17-Sep-2025","162.25","166.83","61.97"
"Amanta Healthcare Ltd.","01-Sep-2025","126","126.00","14.80","209.13","53.59","57.53","09-Sep-2025","135.00","141.75","12.5"
"Anlon Healthcare Ltd.","26-Aug-2025","91","121.03","1.05","10.50","45.82","6.95","03-Sep-2025","92.00","91.73","0.8"
"Vikran Engineering Ltd.","26-Aug-2025","97","772.00","8.67","61.68","11.27","17.53","03-Sep-2025","99.00","95.71","-1.33"
"Mangal Electrical Industries Ltd.","20-Aug-2025","561","400.00","5.13","19.70","4.99","7.27","28-Aug-2025","556.00","535.35","-4.57"
"Shreeji Shipping Global Ltd.","19-Aug-2025","252","410.71","44.82","72.62","21.57","40.85","26-Aug-2025","270.00","255.10","1.23"
"Gem Aromatics Ltd.","19-Aug-2025","325","451.25","22.14","45.90","10.29","21.55","26-Aug-2025","333.10","319.05","-1.83"
"Vikram Solar Ltd.","19-Aug-2025","332","2,079.37","58.56","52.80","7.77","39.73","26-Aug-2025","338.00","356.40","7.35"
"Patel Retail Ltd.","19-Aug-2025","255","242.66","109.09","107.90","41.68","78.04","26-Aug-2025","300.00","287.70","12.82"
"Regaal Resources Ltd.","12-Aug-2025","102","306.00","41.34","355.25","55.61","93.42","20-Aug-2025","141.00","131.58","29"
"BlueStone Jewellery & Lifestyle Ltd.","11-Aug-2025","517","1,540.65","2.30","0.56","1.32","1.94","19-Aug-2025","510.00","546.00","5.61"
"All Time Plastics Ltd.","07-Aug-2025","275","400.60","4.76","13.90","5.23","6.28","14-Aug-2025","311.30","283.30","3.02"
"JSW Cement Ltd.","07-Aug-2025","147","3,600.00","7.30","11.56","1.84","6.03","14-Aug-2025","153.50","146.07","-0.63"
"Highway Infrastructure Ltd.","05-Aug-2025","70","130.00","170.38","471.09","159.72","256.33","12-Aug-2025","115.00","120.75","72.5"
"Sri Lotus Developers & Realty Ltd.","30-Jul-2025","150","792.00","70.76","61.53","21.13","51.87","06-Aug-2025","178.00","195.67","30.45"
"M&B Engineering Ltd.","30-Jul-2025","385","650.00","15.98","40.18","33.54","21.30","06-Aug-2025","385.00","408.65","6.14"
"National Securities Depository Ltd.","30-Jul-2025","800","4,010.95","42.15","34.75","7.43","28.84","06-Aug-2025","880.00","936.00","17"
"Laxmi India Finance Ltd.","29-Jul-2025","158","254.26","1.47","1.82","2.17","1.76","05-Aug-2025","137.52","134.11","-15.12"
"Aditya Infotech Ltd.","29-Jul-2025","675","1,300.00","56.70","75.52","52.56","58.82","05-Aug-2025","1,015.00","1,082.65","60.39"
"Shanti Gold International Ltd.","25-Jul-2025","199","360.11","47.35","151.49","30.42","57.04","01-Aug-2025","227.55","229.38","15.27"
"Brigade Hotel Ventures Ltd.","24-Jul-2025","90","759.60","2.90","10.10","6.59","4.26","31-Jul-2025","81.10","85.32","-5.2"
"Indiqube Spaces Ltd.","23-Jul-2025","237","700.00","6.68","8.62","13.41","7.63","30-Jul-2025","216.00","217.97","-8.03"
"GNG Electronics Ltd.","23-Jul-2025","237","460.43","110.35","237.44","48.20","107.66","30-Jul-2025","355.00","333.39","40.67"
"Anthem Biosciences Ltd.","14-Jul-2025","570","3,395.00","77.87","43.67","5.74","47.37","21-Jul-2025","723.05","730.35","28.13"
"Smartworks Coworking Spaces Ltd.","10-Jul-2025","407","582.56","10.59","23.63","3.59","10.03","17-Jul-2025","435.00","445.05","9.35"
"Travel Food Services Ltd.","07-Jul-2025","1,100","2,000.00","3.83","1.62","0.69","2.40","14-Jul-2025","1,125.00","1,074.80","-2.29"
"Crizac Ltd.","02-Jul-2025","245","860.00","57.16","79.49","10.54","44.19","09-Jul-2025","281.05","307.63","25.56"
"Indogulf Cropsciences Ltd.","26-Jun-2025","111","200.00","1.95","50.72","15.33","13.50","03-Jul-2025","111.00","110.35","-0.59"
"Sambhv Steel Tubes Ltd.","25-Jun-2025","82","540.00","27.26","33.62","8.35","21.49","02-Jul-2025","110.00","97.59","19.01"
"HDB Financial Services Ltd.","25-Jun-2025","740","12,500.00","24.05","10.24","1.43","13.07","02-Jul-2025","835.00","840.95","13.64"
"Globe Civil Projects Ltd.","24-Jun-2025","71","119.00","40.66","142.10","52.61","60.06","01-Jul-2025","90.00","94.46","33.04"
"Ellenbarrie Industrial Gases Ltd.","24-Jun-2025","400","852.53","25.92","15.54","2.14","16.04","01-Jul-2025","486.00","534.60","33.65"
"Kalpataru Ltd.","24-Jun-2025","414","1,590.00","1.93","1.39","1.35","1.78","01-Jul-2025","414.00","432.95","4.58"
"Arisinfra Solutions Ltd.","18-Jun-2025","222","499.60","1.20","3.07","5.98","1.96","25-Jun-2025","205.00","174.38","-21.45"
"Oswal Pumps Ltd.","13-Jun-2025","614","1,387.34","35.89","38.19","3.59","24.93","20-Jun-2025","634.00","625.35","1.85"
"Scoda Tubes Ltd.","28-May-2025","140","220.00","30.23","122.20","20.23","40.52","04-Jun-2025","140.00","147.00","5"
"Prostarm Info Systems Ltd.","27-May-2025","105","168.00","41.80","222.75","38.12","67.65","03-Jun-2025","120.00","126.00","20"
"Aegis Vopak Terminals Ltd.","26-May-2025","235","2,800.00","1.97","0.64","0.78","1.66","02-Jun-2025","220.00","242.00","2.98"
"Schloss Bangalore Ltd.","26-May-2025","435","3,500.00","3.74","1.06","0.83","3.05","02-Jun-2025","406.00","435.55","0.13"
"Belrise Industries Ltd.","21-May-2025","90","2,150.00","0.98","40.78","4.40","8.15","28-May-2025","100.00","97.41","8.23"
"Borana Weaves Ltd.","20-May-2025","216","144.89","35.27","237.23","192.74","81.31","27-May-2025","243.00","255.15","18.13"
"Ather Energy Ltd.","28-Apr-2025","321","2,980.76","1.30","0.68","1.76","1.26","06-May-2025","328.00","302.30","-5.83"
"Quality Power Electrical Equipments Ltd.","14-Feb-2025","425","858.70","1.01","0.77","1.72","1.05","24-Feb-2025","430.00","387.90","-8.73"
"Hexaware Technologies Ltd.","12-Feb-2025","708","8,750.00","4.42","0.21","0.10","2.25","19-Feb-2025","745.50","762.55","7.7"
"Ajax Engineering Ltd.","10-Feb-2025","629","1,268.93","6.46","6.41","1.89","4.84","17-Feb-2025","576.00","595.40","-5.34"
"Dr.Agarwal's Health Care Ltd.","29-Jan-2025","402","3,027.26","2.48","0.37","0.39","1.39","04-Feb-2025","402.00","401.65","-0.09"
"Denta Water & Infra Solutions Ltd.","22-Jan-2025","294","220.50","94.71","505.15","89.36","154.40","29-Jan-2025","325.00","341.25","16.07"
"Stallion India Fluorochemicals Ltd.","16-Jan-2025","90","199.45","69.58","424.11","94.51","131.49","23-Jan-2025","120.00","126.00","40"
"Laxmi Dental Ltd.","13-Jan-2025","428","698.06","44.60","147.44","75.35","63.10","20-Jan-2025","542.00","550.55","28.63"
"Quadrant Future Tek Ltd.","07-Jan-2025","290","290.00","56.72","265.68","256.63","108.05","14-Jan-2025","370.00","444.00","53.1"
"Standard Glass Lining Technology Ltd.","06-Jan-2025","140","410.05","131.60","273.52","65.72","129.83","13-Jan-2025","176.00","163.35","16.68"
